country;iso3;year;sex;age_group;pop;type;expected.mean;acm.mean;excess.mean
Australia;AUS;2021;Male;25-34;1950821;reported;1380,876208;535,1940524;-846,1196561
Australia;AUS;2021;Male;35-44;1760568;reported;2259,849681;1232,11341;-1028,173771
Australia;AUS;2021;Male;45-54;1603872;reported;4299,892421;3994,781774;-305,5481469
Australia;AUS;2021;Male;55-64;1460093;reported;8926,929035;11199,06059;2271,694056
Australia;AUS;2021;Male;65-74;1160009;reported;16181,12752;16554,34014;372,7751245
Australia;AUS;2021;Male;75-84;641911;reported;24780,56279;25584,6205;803,6202061
Australia;AUS;2021;Male;>85;196439;reported;27601,36277;29534,80219;1933,001924
Austria;AUT;2020;Female;0-24;1082593;reported;222,8915429;239,4907342;16,34919137
Austria;AUT;2020;Female;25-34;590754;reported;151,4273758;162,6171652;10,93978939
Austria;AUT;2020;Female;35-44;585263;reported;327,0356945;351,844412;24,55871753
Austria;AUT;2020;Female;45-54;661781;reported;1023,499981;973,7318742;-50,01810693
Austria;AUT;2020;Female;55-64;640964;reported;2679,707688;2579,206796;-100,7508921
Austria;AUT;2020;Female;65-74;456807;reported;4776,877338;5115,049015;337,921677
Austria;AUT;2020;Female;75-84;355813;reported;11165,66953;12178,54734;1012,627807
Austria;AUT;2020;Female;>85;138053;reported;21823,97267;24062,41266;2238,189989
Austria;AUT;2020;Male;0-24;1146438;reported;398,0233871;403,093458;4,82007095
Austria;AUT;2020;Male;25-34;616172;reported;333,2163569;334,1043576;0,638000772
Austria;AUT;2020;Male;35-44;593001;reported;578,4610454;627,8008136;49,08976826
Austria;AUT;2020;Male;45-54;657973;reported;1849,145856;1797,658845;-51,73701117
Austria;AUT;2020;Male;55-64;627049;reported;4905,279867;4891,327218;-14,20264884
Austria;AUT;2020;Male;65-74;400599;reported;7593,713519;8237,298588;643,3350689
Austria;AUT;2020;Male;75-84;267248;reported;13384,51845;14477,8555;1093,087049
Austria;AUT;2020;Male;>85;68084;reported;10574,13272;13446,96123;2872,578508
Austria;AUT;2021;Female;0-24;1073633;reported;215,3461025;219,7973598;4,388757235
Austria;AUT;2021;Female;25-34;588301;reported;148,024085;148,538855;0,452270043
Austria;AUT;2021;Female;35-44;588929;reported;323,2161007;341,2379102;17,95930946
Austria;AUT;2021;Female;45-54;647500;reported;973,0003857;1049,808394;76,74550852
Austria;AUT;2021;Female;55-64;654666;reported;2707,143496;2629,53919;-77,66680612
Austria;AUT;2021;Female;65-74;471383;reported;4865,43052;5543,108758;677,6157386
Austria;AUT;2021;Female;75-84;356911;reported;11179,28006;12230,36816;1051,025597
Austria;AUT;2021;Female;>85;136546;reported;21642,99088;23011,47884;1368,425455
Austria;AUT;2021;Male;0-24;1136583;reported;380,5898478;411,492774;30,84042625
Austria;AUT;2021;Male;25-34;614197;reported;321,7718215;388,409033;66,5747115
Austria;AUT;2021;Male;35-44;598516;reported;565,4474573;675,4503339;109,9403767
